"DEVELOPMENT","TDS #","BUILDING #","STAIRHALL#","BOROUGH","HOUSE #","STREET","ADDRESS","CITY","STATE","ZIP CODE","BIN","BLOCK","LOT","BOROUGH/BLOCK/LOT #","CENSUS TRACT (2020)","NEIGHBORHOOD TABULATION AREA CODE","NEIGHBORHOOD TABULATION AREA NAME","COMMUNITY DISTRICT","CITY COUNCIL DISTRICT","STATE ASSEMBLY DISTRICT","STATE SENATE DISTRICT","US CONGRESSIONAL DISTRICT","PRIVATELY MANAGED","LATITUDE","LONGITUDE"
"1162-1176 WASHINGTON AVENUE","233","1","003","BRONX","1162","WASHINGTON AVENUE","1162 WASHINGTON AVENUE","BRONX","NY","10,456","2001312","2372","1","2023720001","145","BX0302","Claremont Village-Claremont (East)","3","16","79","32","15",,"40.829928","-73.907535"
"1471 WATSON AVENUE","214","1","029","BRONX","1471","WATSON AVENUE","1471 WATSON AVENUE","BRONX","NY","10,472","2023748","3737","1","2037370001","52","BX0901","Soundview-Bruckner-Bronx River","9","17","85","32","14",,"40.82585","-73.880943"
"154 WEST 84TH STREET","359","1","047","MANHATTAN","154","WEST 84TH STREET","154 WEST 84TH STREET","NEW YORK","NY","10,024","1084672","1214","55","1012140055","169","MN0702","Upper West Side (Central)","7","6","69","47","12","YES","40.785976","-73.975263"
"303 VERNON AVENUE","156","1","025","BROOKLYN","303","VERNON AVENUE","303 VERNON AVENUE","BROOKLYN","NY","11,206","3042881","1585","1","3015850001","283","BK0302","Bedford-Stuyvesant (East)","3","36","56","25","8",,"40.695921","-73.939715"
"45 ALLEN STREET","265","1","003","MANHATTAN","45","ALLEN STREET","45 ALLEN STREET","NEW YORK","NY","10,002","1075792","307","1","1003070001","16","MN0301","Chinatown-Two Bridges","3","1","65","27","10",,"40.716665","-73.992152"
"830 AMSTERDAM AVENUE","150","1","029","MANHATTAN","830","AMSTERDAM AVENUE","830 AMSTERDAM AVENUE","NEW YORK","NY","10,025","1056483","1872","29","1018720029","187","MN0703","Upper West Side-Manhattan Valley","7","7","69","30","12",,"40.797022","-73.968524"
"ADAMS","118","1","001","BRONX","745","EAST 152ND STREET","745 EAST 152ND STREET","BRONX","NY","10,455","2091979","2654","2","2026540002","79","BX0102","Melrose","1","8","84","29","14",,"40.81601","-73.90705"
"ADAMS","118","2","002","BRONX","700","WESTCHESTER AVENUE","700 WESTCHESTER AVENUE","BRONX","NY","10,455","2091976","2654","2","2026540002","79","BX0102","Melrose","1","8","84","29","14",,"40.81663","-73.906656"
"ADAMS","118","3","003","BRONX","720","WESTCHESTER AVENUE","720 WESTCHESTER AVENUE","BRONX","NY","10,455","2091977","2654","2","2026540002","79","BX0102","Melrose","1","8","84","29","14",,"40.816905","-73.906212"
"ADAMS","118","4","004","BRONX","721","TINTON AVENUE","721 TINTON AVENUE","BRONX","NY","10,455","2091978","2654","2","2026540002","79","BX0102","Melrose","1","8","84","29","14",,"40.817128","-73.9053"
"ADAMS","118","5","005","BRONX","710","TINTON AVENUE","710 TINTON AVENUE","BRONX","NY","10,455","2091988","2665","1","2026650001","79","BX0102","Melrose","1","8","84","29","14",,"40.816648","-73.904482"
"ADAMS","118","6","006","BRONX","680","TINTON AVENUE","680 TINTON AVENUE","BRONX","NY","10,455","2091987","2665","1","2026650001","79","BX0102","Melrose","1","8","84","29","14",,"40.816104","-73.904616"
"ADAMS","118","7","007","BRONX","815","EAST 152ND STREET","815 EAST 152ND STREET","BRONX","NY","10,455","2091989","2665","1","2026650001","79","BX0102","Melrose","1","8","84","29","14",,"40.815565","-73.904754"
"ALBANY","31","1","001","BROOKLYN","180","TROY AVENUE","180 TROY AVENUE","BROOKLYN","NY","11,213","3324615","1352","80","3013520080","343","BK0802","Crown Heights (North)","8","36","43","20","9",,"40.673285","-73.936607"
"ALBANY","31","2","002","BROOKLYN","1191","PARK PLACE","1191 PARK PLACE","BROOKLYN","NY","11,213","3324614","1352","80","3013520080","343","BK0802","Crown Heights (North)","8","36","43","20","9",,"40.672915","-73.937683"
"ALBANY","31","3","003","BROOKLYN","205","ALBANY AVENUE","205 ALBANY AVENUE","BROOKLYN","NY","11,213","3324613","1352","80","3013520080","343","BK0802","Crown Heights (North)","8","36","43","20","9",,"40.67339","-73.938688"
"ALBANY","31","4","004","BROOKLYN","193","ALBANY AVENUE","193 ALBANY AVENUE","BROOKLYN","NY","11,213","3324612","1352","80","3013520080","343","BK0802","Crown Heights (North)","8","36","43","20","9",,"40.673982","-73.938632"
"ALBANY","31","5","005","BROOKLYN","1008","SAINT MARKS AVENUE","1008 SAINT MARKS AVENUE","BROOKLYN","NY","11,213","3324616","1352","80","3013520080","343","BK0802","Crown Heights (North)","8","36","43","20","9",,"40.674347","-73.93755"
"ALBANY","31","6","006","BROOKLYN","162","TROY AVENUE","162 TROY AVENUE","BROOKLYN","NY","11,213","3324617","1352","80","3013520080","343","BK0802","Crown Heights (North)","8","36","43","20","9",,"40.673868","-73.936546"
"ALBANY II","85","7","007","BROOKLYN","1400","BERGEN STREET","1400 BERGEN STREET","BROOKLYN","NY","11,213","3324611","1352","1","3013520001","343","BK0802","Crown Heights (North)","8","36","56","20","9",,"40.675096","-73.938151"
"ALBANY II","85","8","008","BROOKLYN","1414","BERGEN STREET","1414 BERGEN STREET","BROOKLYN","NY","11,213","3324609","1352","1","3013520001","343","BK0802","Crown Heights (North)","8","36","56","20","9",,"40.675019","-73.937494"
"ALBANY II","85","9","009","BROOKLYN","1430","BERGEN STREET","1430 BERGEN STREET","BROOKLYN","NY","11,213","3324610","1352","1","3013520001","343","BK0802","Crown Heights (North)","8","36","56","20","9",,"40.675023","-73.936826"
"AMSTERDAM","22","1","001","MANHATTAN","40","AMSTERDAM AVENUE","40 AMSTERDAM AVENUE","NEW YORK","NY","10,023","1081771","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.771974","-73.986896"
"AMSTERDAM","22","1","002","MANHATTAN","50","AMSTERDAM AVENUE","50 AMSTERDAM AVENUE","NEW YORK","NY","10,023","1081771","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.772158","-73.986706"
"AMSTERDAM","22","2","003","MANHATTAN","60","AMSTERDAM AVENUE","60 AMSTERDAM AVENUE","NEW YORK","NY","10,023","1082575","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.772606","-73.98646"
"AMSTERDAM","22","2","004","MANHATTAN","70","AMSTERDAM AVENUE","70 AMSTERDAM AVENUE","NEW YORK","NY","10,023","1082575","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.772793","-73.986276"
"AMSTERDAM","22","3","005","MANHATTAN","80","AMSTERDAM AVENUE","80 AMSTERDAM AVENUE","NEW YORK","NY","10,023","1082576","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773234","-73.986003"
"AMSTERDAM","22","3","006","MANHATTAN","90","AMSTERDAM AVENUE","90 AMSTERDAM AVENUE","NEW YORK","NY","10,023","1082576","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773415","-73.985819"
"AMSTERDAM","22","4","007","MANHATTAN","216","WEST 62ND STREET","216 WEST 62ND STREET","NEW YORK","NY","10,023","1082577","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.772759","-73.987133"
"AMSTERDAM","22","5","008","MANHATTAN","217","WEST 62ND STREET","217 WEST 62ND STREET","NEW YORK","NY","10,023","1082578","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.772974","-73.986974"
"AMSTERDAM","22","5","009","MANHATTAN","216","WEST 63RD STREET","216 WEST 63RD STREET","NEW YORK","NY","10,023","1082578","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773247","-73.986771"
"AMSTERDAM","22","6","010","MANHATTAN","217","WEST 63RD STREET","217 WEST 63RD STREET","NEW YORK","NY","10,023","1082579","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773393","-73.986664"
"AMSTERDAM","22","6","011","MANHATTAN","210","WEST 64TH STREET","210 WEST 64TH STREET","NEW YORK","NY","10,023","1082579","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773632","-73.986412"
"AMSTERDAM","22","6","012","MANHATTAN","216","WEST 64TH STREET","216 WEST 64TH STREET","NEW YORK","NY","10,023","1082579","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773868","-73.986368"
"AMSTERDAM","22","7","013","MANHATTAN","228","WEST 62ND STREET","228 WEST 62ND STREET","NEW YORK","NY","10,023","1082580","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773016","-73.987603"
"AMSTERDAM","22","8","014","MANHATTAN","229","WEST 62ND STREET","229 WEST 62ND STREET","NEW YORK","NY","10,023","1082581","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773149","-73.987499"
"AMSTERDAM","22","8","015","MANHATTAN","228","WEST 63RD STREET","228 WEST 63RD STREET","NEW YORK","NY","10,023","1082581","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773447","-73.987291"
"AMSTERDAM","22","9","016","MANHATTAN","242","WEST 62ND STREET","242 WEST 62ND STREET","NEW YORK","NY","10,023","1082583","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773233","-73.98811"
"AMSTERDAM","22","10","017","MANHATTAN","241","WEST 62ND STREET","241 WEST 62ND STREET","NEW YORK","NY","10,023","1082582","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773366","-73.988021"
"AMSTERDAM","22","10","018","MANHATTAN","242","WEST 63RD STREET","242 WEST 63RD STREET","NEW YORK","NY","10,023","1082582","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.77366","-73.987789"
"AMSTERDAM","22","11","019","MANHATTAN","249","WEST 61ST STREET","249 WEST 61ST STREET","NEW YORK","NY","10,023","1082584","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.772793","-73.989119"
"AMSTERDAM","22","11","020","MANHATTAN","250","WEST 61ST DRIVE","250 WEST 61ST DRIVE","NEW YORK","NY","10,023","1082584","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773062","-73.988926"
"AMSTERDAM","22","12","021","MANHATTAN","247","WEST 61ST DRIVE","247 WEST 61ST DRIVE","NEW YORK","NY","10,023","1082585","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773168","-73.988775"
"AMSTERDAM","22","12","022","MANHATTAN","248","WEST 62ND STREET","248 WEST 62ND STREET","NEW YORK","NY","10,023","1082585","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773437","-73.988581"
"AMSTERDAM","22","13","023","MANHATTAN","249","WEST 62ND STREET","249 WEST 62ND STREET","NEW YORK","NY","10,023","1082586","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773603","-73.988524"
"AMSTERDAM","22","13","024","MANHATTAN","250","WEST 63RD STREET","250 WEST 63RD STREET","NEW YORK","NY","10,023","1082586","1154","101","1011540101","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.773876","-73.98833"
"AMSTERDAM ADDITION","187","1","025","MANHATTAN","240","WEST 65TH STREET","240 WEST 65TH STREET","NEW YORK","NY","10,023","1030340","1156","20","1011560020","15,101","MN0701","Upper West Side-Lincoln Square","7","6","67","47","12",,"40.774842","-73.986874"
"ASTORIA","26","1","001","QUEENS","4-21","ASTORIA BOULEVARD","4-21 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430788","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.773119","-73.93301"
"ASTORIA","26","2","002","QUEENS","28-02","8TH STREET","28-02 8TH STREET","ASTORIA","NY","11,102","4430778","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.77344","-73.932676"
"ASTORIA","26","3","003","QUEENS","27-10","8TH STREET","27-10 8TH STREET","ASTORIA","NY","11,102","4430777","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.773928","-73.932433"
"ASTORIA","26","4","004","QUEENS","4-10","27TH AVENUE","4-10 27TH AVENUE","ASTORIA","NY","11,102","4430782","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.774166","-73.933078"
"ASTORIA","26","5","005","QUEENS","4-03","ASTORIA BOULEVARD","4-03 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430787","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.77342","-73.933865"
"ASTORIA","26","6","006","QUEENS","3-20","27TH AVENUE","3-20 27TH AVENUE","ASTORIA","NY","11,102","4430781","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.77411","-73.933969"
"ASTORIA","26","7","007","QUEENS","3-04","27TH AVENUE","3-04 27TH AVENUE","ASTORIA","NY","11,102","4430780","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.774578","-73.93433"
"ASTORIA","26","8","008","QUEENS","2-10","27TH AVENUE","2-10 27TH AVENUE","ASTORIA","NY","11,102","4430779","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.774444","-73.935089"
"ASTORIA","26","9","009","QUEENS","1-25","ASTORIA BOULEVARD","1-25 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430786","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.773963","-73.935741"
"ASTORIA","26","10","010","QUEENS","27-05","1ST STREET","27-05 1ST STREET","ASTORIA","NY","11,102","4430783","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.775119","-73.935987"
"ASTORIA","26","11","011","QUEENS","27-25","1ST STREET","27-25 1ST STREET","ASTORIA","NY","11,102","4430784","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.774793","-73.936164"
"ASTORIA","26","12","012","QUEENS","1-05","ASTORIA BOULEVARD","1-05 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430785","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.774089","-73.936508"
"ASTORIA","26","13","013","QUEENS","4-24","ASTORIA BOULEVARD","4-24 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430799","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.772646","-73.933094"
"ASTORIA","26","15","015","QUEENS","3-02","ASTORIA BOULEVARD","3-02 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430796","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.773045","-73.93475"
"ASTORIA","26","16","016","QUEENS","3-06","ASTORIA BOULEVARD","3-06 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430797","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.772597","-73.934879"
"ASTORIA","26","17","017","QUEENS","3-10","ASTORIA BOULEVARD","3-10 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430798","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.772135","-73.935042"
"ASTORIA","26","18","018","QUEENS","2-10","ASTORIA BOULEVARD","2-10 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430795","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.772452","-73.936127"
"ASTORIA","26","19","019","QUEENS","2-06","ASTORIA BOULEVARD","2-06 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430793","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.772864","-73.935817"
"ASTORIA","26","20","020","QUEENS","2-04","ASTORIA BOULEVARD","2-04 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430792","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.773255","-73.935502"
"ASTORIA","26","21","021","QUEENS","1-20","ASTORIA BOULEVARD","1-20 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430791","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.772834","-73.936804"
"ASTORIA","26","22","022","QUEENS","1-10","ASTORIA BOULEVARD","1-10 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430790","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.773216","-73.937124"
"ASTORIA","26","23","023","QUEENS","1-04","ASTORIA BOULEVARD","1-04 ASTORIA BOULEVARD","ASTORIA","NY","11,102","4430789","490","101","4004900101","87","QN0102","Old Astoria-Hallets Point","1","22","36","59","14",,"40.773694","-73.937246"
"ATLANTIC TERMINAL SITE 4B","256","1","006","BROOKLYN","487","CARLTON AVENUE","487 CARLTON AVENUE","BROOKLYN","NY","11,238","3057520","2007","1","3020070001","179","BK0203","Fort Greene","2","35","57","25","8",,"40.682991","-73.970236"
"BAISLEY PARK","91","1","001","QUEENS","164-01","FOCH BOULEVARD","164-01 FOCH BOULEVARD","JAMAICA","NY","11,434","4435294","12335","44","4123350044","278","QN1203","Baisley Park","12","28","32","10","5",,"40.684941","-73.782305"
"BAISLEY PARK","91","2","002","QUEENS","163-11","FOCH BOULEVARD","163-11 FOCH BOULEVARD","JAMAICA","NY","11,434","4435293","12335","44","4123350044","278","QN1203","Baisley Park","12","28","32","10","5",,"40.68482","-73.782815"
"BAISLEY PARK","91","3","003","QUEENS","116-80","GUY BREWER BOULEVARD","116-80 GUY BREWER BOULEVARD","JAMAICA","NY","11,434","4435282","12235","22","4122350022","278","QN1203","Baisley Park","12","28","32","10","5",,"40.684522","-73.78367"
"BAISLEY PARK","91","4","004","QUEENS","116-40","GUY BREWER BOULEVARD","116-40 GUY BREWER BOULEVARD","JAMAICA","NY","11,434","4435280","12235","22","4122350022","278","QN1203","Baisley Park","12","28","32","10","5",,"40.68535","-73.784147"
"BAISLEY PARK","91","5","005","QUEENS","116-30","GUY BREWER BOULEVARD","116-30 GUY BREWER BOULEVARD","JAMAICA","NY","11,434","4529903","12235","22","4122350022","278","QN1203","Baisley Park","12","28","32","10","5",,"40.685828","-73.784527"
"BARUCH","60","1","001","MANHATTAN","605","FDR DRIVE","605 FDR DRIVE","NEW YORK","NY","10,002","1078027","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.718243","-73.975403"
"BARUCH","60","1","002","MANHATTAN","595","FDR DRIVE","595 FDR DRIVE","NEW YORK","NY","10,002","1078027","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.718068","-73.975439"
"BARUCH","60","2","003","MANHATTAN","577","FDR DRIVE","577 FDR DRIVE","NEW YORK","NY","10,002","1078028","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.717444","-73.975911"
"BARUCH","60","2","004","MANHATTAN","571","FDR DRIVE","571 FDR DRIVE","NEW YORK","NY","10,002","1078028","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.717288","-73.975826"
"BARUCH","60","3","005","MANHATTAN","555","FDR DRIVE","555 FDR DRIVE","NEW YORK","NY","10,002","1078029","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.716805","-73.97623"
"BARUCH","60","3","006","MANHATTAN","549","FDR DRIVE","549 FDR DRIVE","NEW YORK","NY","10,002","1078029","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.716644","-73.976128"
"BARUCH","60","4","007","MANHATTAN","525","FDR DRIVE","525 FDR DRIVE","NEW YORK","NY","10,002","1078030","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.715918","-73.976669"
"BARUCH","60","4","008","MANHATTAN","521","FDR DRIVE","521 FDR DRIVE","NEW YORK","NY","10,002","1078030","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.715752","-73.976572"
"BARUCH","60","5","009","MANHATTAN","64","BARUCH DRIVE","64 BARUCH DRIVE","NEW YORK","NY","10,002","1078031","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.716391","-73.977476"
"BARUCH","60","5","010","MANHATTAN","60","BARUCH DRIVE","60 BARUCH DRIVE","NEW YORK","NY","10,002","1078031","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.716184","-73.977446"
"BARUCH","60","6","011","MANHATTAN","308","DELANCEY STREET","308 DELANCEY STREET","NEW YORK","NY","10,002","1083421","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.716276","-73.97819"
"BARUCH","60","6","012","MANHATTAN","312","DELANCEY STREET","312 DELANCEY STREET","NEW YORK","NY","10,002","1083421","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.716106","-73.978221"
"BARUCH","60","7","013","MANHATTAN","72","BARUCH DRIVE","72 BARUCH DRIVE","NEW YORK","NY","10,002","1078032","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.717227","-73.97804"
"BARUCH","60","7","014","MANHATTAN","70","BARUCH DRIVE","70 BARUCH DRIVE","NEW YORK","NY","10,002","1078032","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.717075","-73.977944"
"BARUCH","60","8","015","MANHATTAN","90","BARUCH DRIVE","90 BARUCH DRIVE","NEW YORK","NY","10,002","1078033","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.717919","-73.977404"
"BARUCH","60","8","016","MANHATTAN","80","BARUCH DRIVE","80 BARUCH DRIVE","NEW YORK","NY","10,002","1078033","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.717758","-73.977319"
"BARUCH","60","9","017","MANHATTAN","120","BARUCH DRIVE","120 BARUCH DRIVE","NEW YORK","NY","10,002","1078034","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.718828","-73.977103"
"BARUCH","60","9","018","MANHATTAN","110","BARUCH DRIVE","110 BARUCH DRIVE","NEW YORK","NY","10,002","1078034","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.718663","-73.977127"
"BARUCH","60","10","019","MANHATTAN","105","BARUCH DRIVE","105 BARUCH DRIVE","NEW YORK","NY","10,002","1078035","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.718654","-73.977823"
"BARUCH","60","10","020","MANHATTAN","95","BARUCH DRIVE","95 BARUCH DRIVE","NEW YORK","NY","10,002","1078035","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.718484","-73.977847"
"BARUCH","60","11","021","MANHATTAN","79","BARUCH DRIVE","79 BARUCH DRIVE","NEW YORK","NY","10,002","1078036","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.717765","-73.978474"
"BARUCH","60","11","022","MANHATTAN","75","BARUCH DRIVE","75 BARUCH DRIVE","NEW YORK","NY","10,002","1078036","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.717595","-73.978474"
"BARUCH","60","12","023","MANHATTAN","296","DELANCEY STREET","296 DELANCEY STREET","NEW YORK","NY","10,002","1078037","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.716856","-73.97871"
"BARUCH","60","12","024","MANHATTAN","298","DELANCEY STREET","298 DELANCEY STREET","NEW YORK","NY","10,002","1078037","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.716741","-73.978728"
"BARUCH","60","13","025","MANHATTAN","288","DELANCEY STREET","288 DELANCEY STREET","NEW YORK","NY","10,002","1078038","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.7166","-73.979452"
"BARUCH","60","13","026","MANHATTAN","292","DELANCEY STREET","292 DELANCEY STREET","NEW YORK","NY","10,002","1078038","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.716429","-73.979416"
"BARUCH","60","14","027","MANHATTAN","60","COLUMBIA STREET","60 COLUMBIA STREET","NEW YORK","NY","10,002","1078039","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.716864","-73.980088"
"BARUCH","60","14","028","MANHATTAN","50","COLUMBIA STREET","50 COLUMBIA STREET","NEW YORK","NY","10,002","1078039","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.716713","-73.980112"
"BARUCH","60","15","029","MANHATTAN","90","COLUMBIA STREET","90 COLUMBIA STREET","NEW YORK","NY","10,002","1078040","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.718187","-73.97932"
"BARUCH","60","15","030","MANHATTAN","80","COLUMBIA STREET","80 COLUMBIA STREET","NEW YORK","NY","10,002","1078040","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.718035","-73.97932"
"BARUCH","60","16","031","MANHATTAN","120","COLUMBIA STREET","120 COLUMBIA STREET","NEW YORK","NY","10,002","1078041","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.718857","-73.978955"
"BARUCH","60","16","032","MANHATTAN","110","COLUMBIA STREET","110 COLUMBIA STREET","NEW YORK","NY","10,002","1078041","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.718705","-73.978883"
"BARUCH","60","17","033","MANHATTAN","140","COLUMBIA STREET","140 COLUMBIA STREET","NEW YORK","NY","10,002","1078042","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.719332","-73.978707"
"BARUCH","60","17","034","MANHATTAN","130","COLUMBIA STREET","130 COLUMBIA STREET","NEW YORK","NY","10,002","1078042","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.719189","-73.978611"
"BARUCH HOUSES ADDITION","198","18","035","MANHATTAN","72","COLUMBIA STREET","72 COLUMBIA STREET","NEW YORK","NY","10,002","1078043","323","1","1003230001","1,002","MN0302","Lower East Side","3","2","74","27","10",,"40.717077","-73.979211"
"BEACH 41ST STREET-BEACH CHANNEL DRIVE","165","1","001","QUEENS","40-20","BEACH CHANNEL DRIVE","40-20 BEACH CHANNEL DRIVE","FAR ROCKAWAY","NY","11,691","4302142","15960","60","4159600060","97,206","QN1402","Rockaway Beach-Arverne-Edgemere","14","31","31","10","5",,"40.59599","-73.773338"
"BEACH 41ST STREET-BEACH CHANNEL DRIVE","165","1","002","QUEENS","433","BEACH 40TH STREET","433 BEACH 40TH STREET","FAR ROCKAWAY","NY","11,691","4302142","15960","60","4159600060","97,206","QN1402","Rockaway Beach-Arverne-Edgemere","14","31","31","10","5",,"40.59673","-73.772858"
"BEACH 41ST STREET-BEACH CHANNEL DRIVE","165","2","003","QUEENS","453","BEACH 40TH STREET","453 BEACH 40TH STREET","FAR ROCKAWAY","NY","11,691","4529514","15960","60","4159600060","97,206","QN1402","Rockaway Beach-Arverne-Edgemere","14","31","31","10","5",,"40.597129","-73.772786"
