"FUNDING AGENCY","BOROUGH","PROGRAM TYPE","Status","DEVELOPMENT","ADDRESS","SPONSOR","Postcode","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA"
"AGING","Brooklyn","Senior Center","Occupied","Haber","3024 West 24th Street","Jewish Community Council of Coney Island","11224","40.573171","-73.990645","313","47","352","3322050","3070700001","BK1302"
,"Brooklyn","REES Jobs Plus","Occupied","Coney Island","3026 Surf Avenue - new space","NYCHA",,,,,,,,,
"OTHER","Brooklyn","COMPASS","Occupied","Nostrand","3043 Avenue W","Kings Bay YM-YWHA","11229","40.596429","-73.936452","315","46","572","3320779","3073890001","BK1503"
,"Brooklyn","TA USE","Occupied","Ocean Hill Apartments","305 MacDougal Street","NYCHA","11233","40.680579","-73.908412","316","37","369","3041566","3015280033","BK1601"
,"Brooklyn","Skilled Trades /TA","Occupied","Gravesend","3146 Bayview Avenue","NYCHA","11224","40.578512","-73.998034","313","47","330","3331093","3069640002","BK1302"
,"Brooklyn",,"Vacant","Farragut","32 Navy Street","Vacant","11201","40.699325","-73.980493","302","35","23","3325919","3000900001","BK0202"
,"Brooklyn","DDC Project","Construction","Brownsville","320 Blake Avenue","Vacant","11212","40.665897","-73.907834","316","41","912","3326528","3035610001","BK1602"
"HRA","Brooklyn","Jobs Plus","Occupied","Van Dyke I","330 / 430 Powell Street","Fedcap, Inc.",,,,,,,,,
,"Brooklyn","TA USE","Occupied","Van Dyke I","330 / 430 Powell Street","NYCHA",,,,,,,,,
"DOE","Brooklyn","Child Care","Occupied","Lafayette","333 Classon Avenue","Billy Martin Child Development Day Care Center, Inc.","11205","40.689768","-73.960169","303","36","233","3321871","3019380001","BK0301"
,"Brooklyn",,"Vacant","Sheepshead Bay","3525 Nostrand Avenue","Vacant","11229","40.597782","-73.941366","315","46","572","3337289","3073870001","BK1503"
,"Brooklyn","Brooklyn Borough Manhattan Office","Construction","Roosevelt I","360 Pulaski Street","Vacant","11206","40.693836","-73.936392","303","36","289","3324973","3015980001","BK0302"
"AGING","Brooklyn","Senior Center","Occupied","Sheepshead Bay","3643 Nostrand Avenue","Catholic Charities Neighborhood Services, Inc.","11229","40.594966","-73.940825","315","46","572","3344554","3074051001","BK1503"
"AGING","Brooklyn","NORC","Occupied","Sheepshead Bay","3677 Nostrand Ave # 3A","Catholic Charities Neighborhood Services, Inc.","11229","40.594203","-73.940674","315","46","572","3344548","3074051001","BK1503"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Sheepshead Bay","3679 Nostrand Avenue","CAMBA, Inc.","11229","40.594132","-73.940663","315","46","572","3344548","3074051001","BK1503"
,"Brooklyn","NYPD","Occupied","Van Dyke I","381 Livonia Avenue","NYCHA","11212","40.663368","-73.903436","316","41","910","3328131","3037940001","BK1602"
,"Brooklyn","DDC Project","Construction","Van Dyke I","382 Sutter Avenue","Vacant","11212","40.667904","-73.90499","316","41","910","3328030","3037600001","BK1602"
,"Brooklyn","Brooklyn Borough Manhattan Office","Construction","Roosevelt I","388 Pulaski Street","Vacant","11206","40.694049","-73.934552","303","36","289","3324972","3015980001","BK0302"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Van Dyke I","392 Blake Avenue","CAMBA, Inc.","11212","40.66635","-73.904776","316","41","910","3394294","3037770001","BK1602"
"AGING","Brooklyn","Senior Center","Occupied","Roosevelt II","400 Hart Street","Fort Greene Senior Citizens Council","11206","40.694788","-73.934645","303","36","287","3341752","3015950024","BK0302"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Roosevelt II","400 Hart Street","Grand Street Settlement, Inc.","11206","40.694788","-73.934645","303","36","287","3341752","3015950024","BK0302"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Gowanus","420 Baltic Street","Grand Street Settlement, Inc.","11217","40.683646","-73.988783","306","39","71","3336072","3004040001","BK0601"
"AGING","Brooklyn","Senior Center","Occupied","Van Dyke II","430 Dumont Avenue","Wayside Out-Reach Development Corporation, Inc.","11212","40.664982","-73.903308","316","41","910","3328126","3037940001","BK1602"
,"Brooklyn",,"Vacant","Lafayette","434 DeKalb Avenue","Vacant","11205","40.690361","-73.960108","303","36","233","3321871","3019380001","BK0301"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Lafayette","442 Dekalb Avenue","Grand Street Settlement, Inc.","11205","40.690432","-73.959502","303","36","233","3321871","3019380001","BK0301"
"AGING","Brooklyn","Senior Center","Occupied","Kingsborough Extension","447 Kingsborough 4th Walk 2nd floor","Fort Greene Senior Citizens Council","11233","40.675242","-73.924931","308","41","307","3035751","3013440175","BK0802"
"AGING","Brooklyn","Senior Center","Occupied","Woodson","460 Dumont Avenue","Wayside Out-Reach Development Corporation, Inc.","11212","40.66514","-73.902222","316","42","910","3328133","3037970001","BK1602"
,"Brooklyn","TA USE","Occupied","Cypress Hills","465 Fountain Avenue","NYCHA","11208","40.668397","-73.873084","305","42","1210","3337039","3042920061","BK0505"
,"Brooklyn","Carpenter Shop and Storage","Occupied","Marcy","468 Marcy Avenue","NYCHA","11206","40.698932","-73.949929","303","36","255","3325584","3017190001","BK0301"
,"Brooklyn",,"Vacant","Sumner","47 Marcus Garvey Boulevard","Vacant","11206","40.697945","-73.941018","303","36","28502","3324728","3015800001","BK0302"
"AGING","Brooklyn","Senior Center","Occupied","Vandalia Avenue","47 Vandalia Avenue","Millennium Development Corp.","11239","40.649799","-73.88676","305","42","105804","3348859","3044310100","BK0504"
"AGING","Brooklyn","Senior Center","Occupied","Cypress Hills","475 Fountain Avenue","Cypress Hills-Fulton Street Senior Citizens Center, Inc.","11208","40.668288","-73.873005","305","42","1210","3337041","3042920061","BK0505"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Cypress Hills","475 Fountain Avenue","CAMBA, Inc.","11208","40.668288","-73.873005","305","42","1210","3337041","3042920061","BK0505"
"DOE","Brooklyn","Child Care","Occupied","Marlboro","49 Avenue W","The Friends of Crown Heights Educational Centers, Inc.","11223","40.591395","-73.982238","313","47","382","3322146","3071370001","BK1301"
"DYCD","Brooklyn","Community Center - Cornerstone?","Occupied","Marcy","492 Marcy Avenue","Grand Street Settlement, Inc.","11206","40.698149","-73.949767","303","36","255","3325586","3017190001","BK0301"
"OTHER","Brooklyn","Child Care","Occupied","Marcy","494 Marcy Avenue","Conga Sharay  Ditza  d/b/a  The Williamsburg Day Care","11206","40.698084","-73.949756","303","36","255","3325586","3017190001","BK0301"
"AGING","Brooklyn","NORC","Occupied","Bushwick","50 Humboldt Street","Jewish Association Services For the Aged","11206","40.703179","-73.940761","301","34","489","3338434","3031290001","BK0104"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Bushwick","50 Humboldt Street","Grand Street Settlement, Inc.","11206","40.703179","-73.940761","301","34","489","3338434","3031290001","BK0104"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Atlantic Terminal Site 4B","501 Carlton Avenue","University Settlement Society of New York, Inc.","11238","40.682761","-73.97077","302","35","179","3057520","3020070001","BK0203"
"OTHER","Brooklyn","Community Center","Occupied","Brownsville","528 Mother Gaston Boulevard","Research Foundation of CUNY / Medgar Evers College","11212","40.665956","-73.905923","316","41","912","3325326","3035610001","BK1602"
"AGING","Brooklyn","Senior Center","Occupied","Brownsville","528 Mother Gaston Boulevard","Wayside Out-Reach Development Corporation, Inc.","11212","40.665956","-73.905923","316","41","912","3325326","3035610001","BK1602"
"AGING","Brooklyn","Senior Center","Occupied","Glenwood","5701 -5703 Avenue H","Catholic Charities Neighborhood Services, Inc.","11234","40.633288","-73.921555","318","45","94402","3331006","3079780001","BK1801"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Unity Plaza (sites 4-27)","576 Blake Avenue","Grand Street Settlement, Inc.","11207","40.66739","-73.897782","305","42","1134","3336125","3037850015","BK0502"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Glenwood","5816 Farragut Road","Flatbush Development","11234","40.636749","-73.920568","318","45","94402","3331003","3079780001","BK1801"
,"Brooklyn",,"Vacant","Marcy","582 Park Avenue","Vacant","11206","40.697302","-73.951996","303","36","255","3324244","3017380001","BK0301"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Bayview","5955 Shore Parkway","Millennium Development Corp.","11236","40.631986","-73.884617","318","46","103401","3391490","3083290225","BK1803"
,"Brooklyn","DMP","Occupied","Bayview","5985 Shore Parkway","NYCHA","11236","40.632639","-73.883788","318","46","103401","3331443","3083290225","BK1803"
,"Brooklyn",,"Vacant","Red Hook West","6 Wolcott Street","Vacant","11231","40.675345","-74.009972","306","38","85","3323702","3005570001","BK0601"
"AGING","Brooklyn","Senior Center","Occupied","Tilden","630 Mother Gaston Boulevard","Wayside Out-Reach Development Corporation, Inc.","11212","40.663471","-73.905278","316","41","912","3326549","3035760001","BK1602"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Tilden","630 Mother Gaston Boulevard","Research Foundation of CUNY / Medgar Evers College","11212","40.663471","-73.905278","316","41","912","3326549","3035760001","BK1602"
"OTHER","Brooklyn","Senor Center","Occupied","Brown","1630 Saint Marks Avenue","Fort Greene Senior Citizens Council","11233","40.673166","-73.912849","316","41","363","3394308","3014600001","BK1601"
"OTHER","Brooklyn","Child Care - Early Intervention (ABA)","Occupied","Stuyvesant Gardens I","706 Quincy Street","New York Child Resource Center's, Inc.","11221","40.689085","-73.932109","303","36","293","3379547","3016310001","BK0302"
"DOE","Brooklyn","Child Care","Occupied","Breukelen","715 East 105th Street","Recreation Rooms & Settlement","11236","40.648732","-73.896005","318","42","982","3321523","3081930001","BK1803"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Breukelen","715 East 105th Street","Bergen Basin Community Development Corp.","11236","40.648732","-73.896005","318","42","982","3321523","3081930001","BK1803"
"DOE","Brooklyn","Child Care","Occupied","Breukelen","717 East 105th Street","Recreation Rooms & Settlement","11236","40.648672","-73.895937","318","42","982","3321523","3081930001","BK1803"
"AGING","Brooklyn","Senior Center","Occupied","Reid Apartments","720 East New York Avenue","Fort Greene Senior Citizens Council","11203","40.662289","-73.938916","309","40","87401","3106612","3047950016","BK0902"
"DOE","Brooklyn","Child Care","Occupied","Cypress Hills","720 Euclid Avenue","Colony South Brooklyn Houses","11208","40.669298","-73.870437","305","42","1210","3337053","3042920061","BK0505"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Tompkins","736 Park Avenue","Grand Street Settlement, Inc.","11206","40.697972","-73.946128","303","36","25902","3324248","3017400001","BK0301"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Cooper Park","76 Kingsland Avenue","Coalition for Hispanic Family Services","11211","40.718374","-73.940419","301","34","44901","3332781","3028670001","BK0104"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Taylor Street-Wythe Avenue","80 Clymer Street","El Puente De Williamsburg","11249","40.705037","-73.965992","301","34","545","3251702","3021750030","BK0103"
"AGING","Brooklyn","Senior Center","Occupied","Borinquen Plaza I","80 Seigel Street","Riseboro Community Partnership, Inc.","11206","40.704366","-73.943775","301","34","491","3071447","3030960030","BK0104"
"AGING","Brooklyn","Senior Center","Occupied","Sumner","862 Park Avenue","Riseboro Community Partnership, Inc.","11206","40.698582","-73.940736","303","36","28502","3324728","3015800001","BK0302"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Sumner","862 Park Avenue","St. Nicks Alliance","11206","40.698582","-73.940736","303","36","28502","3324728","3015800001","BK0302"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Howard","90 Watkins Street","CAMBA, Inc.","11212","40.670843","-73.90818","316","41","906","3348343","3034890001","BK1602"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Saratoga Village","940 Hancock Street","Research Foundation of CUNY / Medgar Evers College","11233","40.686249","-73.917678","316","41","373","3039983","3014920001","BK1601"
,"Brooklyn","Brooklyn Borough Manhattan Office","Construction","Roosevelt I","971 Dekalb Street","Vacant",,,,,,,,,
"DOE","Manhattan","Child Care","Occupied","King Towers","1 West 112th Street","East Calvary Day Care Center, Inc.","10026","40.798159","-73.948363","110","9","186","1083309","1015960001","MN1001"
"OTHER","Manhattan","Unkown","Occupied","Smith","10 Catherine Slip","Hamilton-Madison House, Inc.","10038","40.709867","-73.996425","103","1","25","1077411","1001110100","MN0301"
,"Manhattan",,"Vacant","Thomas Apartments","102 West 91st Street","Vacant","10024","40.789779","-73.970124","107","6","177","1077231","1012210038","MN0702"
"DOE","Manhattan","Child Care","Occupied","Riis II","108 Avenue D","Chinese-American Planning Council, Inc.","10009","40.723492","-73.976164","103","2","24","1077507","1003620001","MN0303"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Robinson","110 East 129th Street","SCAN-Harbor, Inc.","10035","40.807387","-73.936695","111","9","242","1054505","1017770005","MN1102"
,"Manhattan",,"Vacant","Robinson","110 East 129th Street","Vacant","10035","40.807387","-73.936695","111","9","242","1054505","1017770005","MN1102"
"OTHER","Manhattan","SYEP 2019 (see notes)","RESERVED","Baruch","110-120 Baruch Drive","Henry Street Settlement, Inc.","10002","40.718774","-73.977424","103","2","1002","1078034","1003230001","MN0302"
"DOE","Manhattan","Child Care - UPK 2014","Occupied","Amsterdam","206 West 64th Street","Hudson Guild","10023","40.773624","-73.985584","107","6","15101","1082576","1011540101","MN0701"
"DOE","Manhattan","Child Care","Occupied","Lexington","115 East 98th Street","Lexington Children's Center","10029","40.787637","-73.951057","111","8","166","1078911","1016260001","MN1101"
"AGING","Manhattan","Senior Center","Occupied","Fulton","119 9th Avenue","Hudson Guild","10011","40.743172","-74.00376","104","3","83","1078418","1007150010","MN0401"
"AGING","Manhattan","Senior Center","Occupied","Wald","12 Avenue D","United Jewish Council of the East Side, Inc.","10009","40.720462","-73.978369","103","2","20","1078045","1003560001","MN0303"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Clinton","120 East 110th Street (1st Floor)","SCAN-Harbor, Inc.","10029","40.795119","-73.945194","111","8","172","1078931","1016370001","MN1101"
"DYCD","Manhattan","Community Center - Cornerstone Expansion","Occupied","Clinton","120 East 110th Street (Mezzanine and 2nd Floor)","SCAN-Harbor, Inc.","10029","40.795119","-73.945194","111","8","172","1078931","1016370001","MN1101"
"OTHER","Manhattan","Urban Family Center - Shelters","RESERVED","Lavanburg Homes","126-142 Baruch Place","Henry Street Settlement, Inc.","10002","40.7182","-73.976826","103","2","1002","1077594","1003250001","MN0302"
"DOE","Manhattan","Child Care","Occupied","Grant","1299 Amsterdam Avenue","East Harlem Block Nursery, Inc.","10027","40.811919","-73.957318","109","7","20901","1084095","1019640001","MN0901"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Grant","1301 Amsterdam Avenue","Mosholu Montefiore Community Center Inc.","10027","40.811994","-73.957264","109","7","20901","1084095","1019640001","MN0901"
"AGING","Manhattan","Senior Center","Occupied","Grant","1301 Amsterdam Avenue","Charles A. Walburg Multi-Service, Inc.","10027","40.811994","-73.957264","109","7","20901","1084095","1019640001","MN0901"
"OTHER","Manhattan","Recreational/Educational/Social Services","Occupied","Taft","1365  5th Avenue (2 PRAM ROOMS)","Stanley M. Isaacs Neighborhood Center","10029","40.798815","-73.947799","111","8","184","1080501","1016180001","MN1102"
"DOE","Manhattan","Child Care","Occupied","Holmes Towers","1794 1st Avenue","SCAN-Harbor, Inc.","10128","40.781201","-73.946206","108","8","152","1076333","1015730020","MN0803"
"OTHER","Manhattan","Office Space, Training, RA Use","Occupied","Rehab Program (Taft Rehabs)","146 Saint Nicholas Avenue","Citizens Care Day Care Center, Inc.","10026","40.804493","-73.952728","110","9","218","1084042","1019230029","MN1001"
,"Manhattan",,"Construction","Riis","152-154 Avenue D","Vacant","10009","40.725076","-73.975009","103","2","24","1077543","1003670001","MN0303"
"OTHER","Manhattan","Food Pantry/Storage","Occupied","Wald","18 Avenue D","House of Good Deeds, Inc.","10009","40.720676","-73.978217","103","2","20","1078047","1003560001","MN0303"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Lehman Village","1589 Madison Avenue","SCAN-Harbor, Inc.","10029","40.794311","-73.948979","111","8","17401","1078857","1016130023","MN1101"
"DOE","Manhattan","Child Care","Occupied","Rangel","159-30 Harlem River Drive","Prince Hall Service Fund, Inc.","10039","40.833115","-73.935445","110","9","24302","1084184","1021060320","MN1002"
"DYCD","Manhattan","Anti Gun Violence","Occupied","Rangel","159-36 Harlem River Drive","REACH","10039","40.833365","-73.935456","110","9","24302","1084184","1021060320","MN1002"
"OTHER","Manhattan","Choir","Occupied","Rangel","159-36 Harlem River Drive","Songs of Solomon","10039","40.833365","-73.935456","110","9","24302","1084184","1021060320","MN1002"
"AGING","Manhattan","Senior Center","Occupied","Rangel","159-36 Harlem River Drive","COTHOA - Church on The Hill","10039","40.833365","-73.935456","110","9","24302","1084184","1021060320","MN1002"
,"Manhattan","RA President","Occupied","Rangel","159-44 Harlem River Drive","NYCHA","10039","40.833661","-73.935467","110","9","24302","1084184","1021060320","MN1002"
,"Manhattan",,"Vacant","Rangel","159-62 Harlem River Drive","Vacant","10039","40.834054","-73.935477","110","9","24302","1084186","1021060320","MN1002"
"AGING","Manhattan","Senior Center","Occupied","Lehman Village","1641 Madison Avenue  Apt. 1C, 1D & PRAM","Carter Burden Center for the Aging, Inc. d/b/a Carter Burd","10029","40.79584","-73.947866","111","8","17401","1078867","1016150023","MN1101"
"DOE","Manhattan","Child Care","Occupied","131 Saint Nicholas Avenue","131 Saint Nicholas Avenue","Citizens Care Day Care Center, Inc.","10026","40.803994","-73.952721","110","9","218","1058378","1019220041","MN1001"
"Direct Head Start","Manhattan","Child Care","Occupied","Taft","1724-26 Madison Avenue (Commercial Space Store #5)","Children's Aid Society, The","10029","40.798496","-73.94595","111","8","184","1080504","1016180001","MN1102"
"OTHER","Manhattan","Vocational/Trade School","Occupied","Johnson","173 East 112th Street","Renaissance Technical Institute","10029","40.795653","-73.942449","111","8","182","1089897","1016400021","MN1102"
"OTHER","Manhattan","Community Center","Occupied","Taft","1732 Madison Avenue (Commercial Space Store #8)","Children's Aid Society, The","10029","40.798844","-73.945696","111","8","184","1080505","1016180001","MN1102"
"OTHER","Manhattan","Community Center","Occupied","Lower East Side I Infill","175 Eldridge Street","University Settlement Society of New York, Inc.","10002","40.720412","-73.990822","103","1","18","1005602","1004200062","MN0302"
"HHC","Manhattan","Health Clinic","Occupied","Dyckman","175 Nagle Avenue","New York City Department of Health / Global Health","10034","40.86164","-73.92459","112","10","299","1080027","1022160001","MN1203"
,"Manhattan",,"Vacant","Washington","1761 Third Avenue","Vacant","10029","40.786135","-73.948625","111","8","15602","1082344","1016470001","MN1101"
"AGING/DYCD","Manhattan","Union Settlement","Construction","Washington","1775 Third Avenue","Vacant","10029","40.786574","-73.948303","111","8","15602","1079203","1016470001","MN1101"
"OTHER","Manhattan","Youth Services","Occupied","Holmes Towers","1792 1st Avenue","Stanley M. Isaacs Neighborhood Center","10128","40.781149","-73.946242","108","8","152","1076333","1015730020","MN0803"
"DOE","Manhattan","Child Care","Occupied","Manhattanville","3240 Broadway","Citizens Care Day Care Center, Inc.","10027","40.816951","-73.957365","109","7","219","1084124","1019840001","MN0902"
"OTHER","Manhattan","COMPASS","Occupied","DeHostos Apartments","696 Amsterdam Avenue","Strycker's Bay Neighborhood Council, Inc./The Dome Project","10025","40.792623","-73.971422","107","7","179","1033648","1012410025","MN0702"
,"Manhattan",,"Vacant","Johnson","1820 Lexington Avenue","Vacant","10029","40.796524","-73.943167","111","8","182","1079195","1016400001","MN1102"
"DOE","Manhattan","Child Care","Occupied","Johnson","1829 Lexington Avenue","Union Settlement Association","10029","40.796762","-73.942968","111","8","182","1087213","1016400021","MN1102"
,"Manhattan",,"Vacant","Lexington","183 East 98th Street","Vacant","10029","40.786667","-73.948837","111","8","166","1082320","1016260021","MN1101"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Johnson","1833 Lexington Avenue","SCAN-Harbor, Inc.","10029","40.796894","-73.942874","111","8","182","1082335","1016400021","MN1102"
"AGING","Manhattan","Senior Center","Occupied","Hernandez","189 Allen Street","University Settlement Society of New York, Inc.","10002","40.722133","-73.988964","103","1","3601","1005537","1004170001","MN0302"
"DOE","Manhattan","Union Settlement/ Child Care","Construction","Washington","1893 Second Avenue","Vacant","10029","40.785154","-73.946448","111","8","15602","1082343","1016470001","MN1101"
"OTHER","Manhattan","Domestic Violence Program/Counseling","Occupied","UPACA 6 (Site 6)","1940 Lexington Avenue","Barrier Free Living, Inc.","10035","40.80073","-73.940093","111","9","196","1054368","1017680012","MN1102"
,"Manhattan","TA USE","Occupied","Bethune Gardens","1949 Amsterdam Avenue","NYCHA","10032","40.832646","-73.942182","112","10","239","1062490","1021070059","MN1201"
"AGING","Manhattan","Senior Center","Occupied","Marshall Plaza","1970 Amsterdam Avenue","COTHOA - Church on The Hill","10032","40.83328","-73.94174","112","10","241","1076742","1021160033","MN1201"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","King Towers","2 West 115th Street","SCAN-Harbor, Inc.","10026","40.799987","-73.947057","110","9","186","1083316","1015960001","MN1001"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Rutgers","200 Madison Street","Grand Street Settlement, Inc.","10002","40.712608","-73.990358","103","1","6","1077512","1002550001","MN0301"
"AGING","Manhattan","Senior Center","Occupied","White","2029 2nd Avenue","Union Settlement Association","10029","40.789473","-73.943288","111","8","170","1080669","1016540011","MN1101"
"OTHER","Manhattan","Health Clinic (mental)","Occupied","Jefferson","2089 Third Avenue","Union Settlement Association","10029","40.796761","-73.940873","111","8","180","1080705","1016620001","MN1102"
,"Manhattan",,"Vacant","Jefferson","2095 Third Avenue","Vacant","10029","40.796967","-73.940721","111","8","180","1080705","1016620001","MN1102"
"OTHER","Manhattan","Health Clinic (mental)","Occupied","Jefferson","210 East 115th Street","Union Settlement Association","10029","40.797132","-73.940237","111","8","180","1080705","1016620001","MN1102"
"AGING","Manhattan","Senior Center","Occupied","Saint Nicholas","210 West 131st Street","Central Harlem Senior Citizens Center, Inc.","10027","40.812977","-73.94614","110","9","224","1081515","1019330050","MN1002"
,"Manhattan","NYCHA Manhattan Borough Property Management","Occupied","Lincoln","2110 Madison Avenue","NYCHA","10037","40.810563","-73.937136","111","9","210","1081115","1017570001","MN1102"
,"Manhattan","Manhattan Neighborhood 7","Occupied","Lincoln","2112 Madison Avenue","NYCHA","10037","40.810664","-73.937064","111","9","210","1081115","1017570001","MN1102"
,"Manhattan","TA USE","Occupied","Lower East Side I Infill","213 Eldridge Street","NYCHA","10002","40.721532","-73.990252","103","1","3601","1077628","1004210052","MN0302"
,"Manhattan","TA USE","Occupied","Amsterdam","218 West 64th Street","NYCHA","10023","40.773893","-73.986226","107","6","15101","1082579","1011540101","MN0701"
,"Manhattan",,"Vacant","Saint Nicholas","220 West 131st Street","Vacant","10027","40.813142","-73.946537","110","9","224","1081514","1019330050","MN1002"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Drew - Hamilton","220 West 143rd Street","Children's Village","10030","40.8208","-73.94113","110","9","232","1086084","1020280016","MN1002"
"AGING","Manhattan","Senior Center","Occupied","Drew - Hamilton","220 West 143rd Street","SAGE, Inc.","10030","40.8208","-73.94113","110","9","232","1086084","1020280016","MN1002"
"OTHER","Manhattan","ATTAIN LAB","Occupied","Drew - Hamilton","220 West 143rd Street","Research Foundation of the State University of New York","10030","40.8208","-73.94113","110","9","232","1086084","1020280016","MN1002"
"AGING/OTHER","Manhattan","Senior Center/ COMPASS","Occupied","Jefferson","2205 First Avenue","Union Settlement Association","10029","40.794319","-73.93665","111","8","180","1081091","1016840001","MN1102"
"DOE","Manhattan","Child Care or Head Start","Occupied","Jefferson","2211 First Avenue","Union Settlement Association","10029","40.794511","-73.936509","111","8","180","1081091","1016840001","MN1102"
,"Manhattan","TA USE","Occupied","Straus","225 East 27th Street","NYCHA","10016","40.740851","-73.980116","106","2","66","1019877","1009080017","MN0603"
"OTHER","Manhattan","Family Services / Vocational / GED","Occupied","Carver","1445 Madison Avenue","Real Dads Network, Inc.","10029","40.789378","-73.952576","111","8","168","1082312","1016050024","MN1101"
"DOE","Manhattan","Child Care","Occupied","Saint Nicholas","236 West 129st Street","Utopia Children's Center","10027","40.811811","-73.947207","110","9","224","1081503","1019330001","MN1002"
,"Manhattan","Manhattan Property Management","Occupied","Saint Nicholas","236 West 131st Street","NYCHA","10027","40.813265","-73.946826","110","9","224","1081514","1019330050","MN1002"
"DOE","Manhattan","Child Care /Community Center/Credit Union","Occupied","White","237 East 104th Street","Union Settlement Association","10029","40.789687","-73.944267","111","8","170","1080671","1016540011","MN1101"
,"Manhattan","Manhattan Property Management","Occupied","Saint Nicholas","2374 Frederick Douglass Boulevard","NYCHA",,,,,,,,,
"HRA","Manhattan","Jobs Plus","Occupied","Wald","24 Avenue D","Henry Street Settlement, Inc.","10009","40.720789","-73.978134","103","2","20","1078047","1003560001","MN0303"
"DOE","Manhattan","Child Care","Occupied","Amsterdam Addition","243 West 64th Street","Goddard Riverside Community Center","10023","40.774214","-73.986937","107","6","15101","1030340","1011560020","MN0701"
"DYCD","Manhattan","MAP/Neighborhood","Occupied","Saint Nicholas","250 West 131st Street","Living Redemption Community Development Corporation","10027","40.813609","-73.947653","110","9","224","1081513","1019330050","MN1002"
"AGING/OTHER","Manhattan","Senior Center/ NORC / COMPASS","Occupied","Amsterdam Addition","250 West 65th Street","Goddard Riverside Community Center","10023","40.77501","-73.98689","107","6","15101","1030340","1011560020","MN0701"
"Direct Head Start","Manhattan","Child Care","Occupied","Drew - Hamilton","2672 Frederick Douglass Boulevard","Children's Aid Society, The",,,,,,,,,
,"Manhattan","Neighborhood Administrators","Occupied","Drew - Hamilton","2690 Frederick Douglass Boulevard","NYCHA",,,,,,,,,
,"Manhattan",,"Vacant","Drew - Hamilton","2698 Frederick Douglass Boulevard","Vacant",,,,,,,,,
"AGING","Manhattan","Senior Center","Occupied","LaGuardia Addition","280 Cherry Street","New York Foundation For Senior Citizens","10002","40.711376","-73.988461","103","1","6","1003211","1002560014","MN0301"
"OTHER","Manhattan","Adult Day Care Center","Occupied","Baruch","280 Delancey Street","Divine Living Adult Daycare Center, Inc.","10002","40.716079","-73.980373","103","2","1002","1078039","1003230001","MN0302"
"HHC","Manhattan","Health Clinic","Occupied","Saint Nicholas","281 West 127th Street","New York City Department of Health / Pagney-Global Health","10027","40.811288","-73.949747","110","9","224","1081504","1019330001","MN1002"
"DYCD","Manhattan","Community Center - Cornerstone","Occupied","Two Bridges URA (Site 7)","286 South Street","YMCA of Greater New York - Chinatown","10002","40.710478","-73.986571","103","1","201","1003142","1002450001","MN0301"
,"Manhattan",,"Vacant","Polo Grounds Towers","2931 Frederick Douglass Boulevard","Vacant",,,,,,,,,
"DOE","Manhattan","Child Care","Occupied","Baruch","294 Delancey Street","Grand Street Settlement, Inc.","10002","40.715758","-73.979334","103","2","1002","1078038","1003230001","MN0302"
"OTHER","Manhattan","Community Services (workforce, social services, traning for seniors)","Occupied","Bracetti Plaza","296 East 4th Street","Vision Urbana, Inc.","10009","40.72242","-73.980515","103","2","2601","1004617","1003860033","MN0303"
"OTHER","Manhattan","ATTAIN LAB","Occupied","Polo Grounds Towers","2965 Frederick Douglass Boulevard","Research Foundation of the State University of New York",,,,,,,,,
"AGING","Manhattan","Senior Center","Occupied","Polo Grounds Towers","2965 Frederick Douglass Boulevard","COTHOA - Church on The Hill",,,,,,,,,
,"Manhattan",,"Vacant","Polo Grounds Towers","2967 Frederick Douglass Boulevard","Vacant",,,,,,,,,
