"FUNDING AGENCY","BOROUGH","PROGRAM TYPE","Status","DEVELOPMENT","ADDRESS","SPONSOR","Postcode","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA"
"DOE","Bronx","Child Care","Occupied","Sotomayor Houses","1065 Beach Avenue","Bronxdale Tenant's League Day Care Center, Inc.","10472","40.827038","-73.865255","209","18","44","2092801","2037250001","BX0901"
"Direct Head Start","Bronx","Child Care","Occupied","Mitchel","200 Alexander Avenue","East Side House Settlement","10454","40.808753","-73.926081","201","8","23","2091097","2022980040","BX0101"
"OTHER","Bronx","Senior Center","Occupied","Millbrook","201 St. Ann's Avenue","IPRHE / Acacia Network","10454","40.805742","-73.918238","201","8","25","2090986","2022630019","BX0101"
"Direct Head Start / HRA / DYCD","Bronx","Child Care / Jobs Plus / Cornerstone / COMPASS","Occupied","Millbrook","201 St. Ann's Avenue","East Side House Settlement","10454","40.805742","-73.918238","201","8","25","2090986","2022630019","BX0101"
"AGING","Bronx","Senior Center","Occupied","Twin Parks East (site 9)","2070 Clinton Avenue","Neighborhood SHOPP","10457","40.847236","-73.888101","206","15","371","2012652","2030940014","BX0602"
"DYCD","Bronx","Community Center - Cornerstone / COMPASS","Occupied","Mitchel","210 Alexander Avenue","East Side House Settlement","10454","40.809172","-73.925777","201","8","23","2091097","2022980040","BX0101"
"DYCD","Bronx","Community Center - Cornerstone","Occupied","East 180th Street-Monterey Avenue","2100 Monterey Avenue","Good Shepherd Services","10457","40.85029","-73.893098","206","15","37504","2011855","2030620021","BX0602"
"OTHER","Bronx","School","Occupied","East 180th Street-Monterey Avenue","2120 Quarry Road","School Construction Authority","10457","40.851045","-73.893292","206","15","37504","2011852","2030620006","BX0602"
"AGING","Bronx","Senior Center / Job Readiness / ESL","Occupied","Glebe Avenue-Westchester Avenue","2125 Glebe Avenue","YMCA of Greater New York","10462","40.8351","-73.850368","210","18","20601","2041406","2039630043","BX1001"
,"Bronx","Bronx Borough Office Relocation","Occupied","Castle Hill","2165 Randall Avenue","NYCHA","10473","40.818918","-73.848836","209","18","86","2092673","2035700001","BX0903"
"DOE","Bronx","Child Care","Occupied","Pelham Parkway","2222 Wallace Avenue","Bronx House, Inc.","10467","40.858343","-73.864649","211","13","328","2093364","2043490001","BX1104"
,"Bronx",,"Vacant","West Tremont Avenue-Sedgwick Avenue Area","228 West Tremont Avenue","Vacant","10453","40.85294","-73.918169","205","14","20502","2008963","2028770497","BX0501"
"OTHER","Bronx","Community Center - Developmental Disabilities","Occupied","Pelham Parkway","2280 Wallace Avenue","New York State Association for Retarted Children, Inc.","10467","40.85929","-73.864629","211","13","328","2093356","2043490001","BX1104"
"AGING","Bronx","NORC","Occupied","Pelham Parkway","2425 Williamsbridge Road","Bronx House, Inc.","10469","40.862002","-73.857686","211","13","324","2114842","2044440001","BX1104"
"DOE","Bronx","Child Care","Occupied","Soundview","1700 Seward Avenue","Ciditty Kiddie Corporation","10473","40.818497","-73.868058","209","18","2001","2092649","2035510001","BX0902"
,"Bronx",,"Vacant","Bailey Avenue-West 193rd Street","2660 Bailey Avenue","Vacant","10463","40.870747","-73.906859","207","14","269","2092440","2032390004","BX0701"
"AGING","Bronx","Senior Center","RESERVED","Randall Avenue-Balcom Avenue","2705 Schley Avenue","Jewish Association Services For the Aged","10465","40.821662","-73.827061","210","13","144","2080423","2055680050","BX1002"
,"Bronx","TA USE - lighting vendor","Occupied","Melrose","277 East  153rd Street","NYCHA","10451","40.820157","-73.921306","201","17","67","2093920","2024130001","BX0102"
"DYCD","Bronx","Community Center - Cornerstone","Occupied","Melrose","286 East 156th Street","Bronxworks, Inc.","10451","40.822022","-73.920289","201","17","67","2120133","2024130001","BX0102"
