"BOROUGH","DEVELOPMENT NAME","ADDRESS","STATUS","SPONSOR","POSTCODE","TYPE","Latitude","Longitude","Community Board","Community Council ","Census Tract","BIN","BBL","NTA"
"Queens","Ravenswood","21-20 35th Avenue","Occupied","Catholic Charities Neighborhood Services, Inc.","11106","Child Care ","40.761162","-73.934992","1","26","47","4,430,708","4,003,350,002","Astoria                                                                    "
"Manhattan","Rangel","159-62 Harlem River Drive","Vacant ","NYCHA","10039","Vacant","40.833993","-73.935473","10","9","24,302","1,084,186","1,021,060,320","Central Harlem North-Polo Grounds                                          "
"Manhattan","Rangel","159-36 Harlem River Drive","Occupied","Church on the Hill","10039","Senior Center","40.833365","-73.935456","10","9","24,302","1,084,184","1,021,060,320","Central Harlem North-Polo Grounds                                          "
"Bronx","Sack-Wern","710 Noble Avenue","Occupied","Goodwill Industries of Greater New York","10473","Unknown","40.818861","-73.867208","9","18","20","2,021,985","2,035,940,001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Manhattan","Drew Hamilton","220 West 143rd Street","Occupied","Research Foundation of the State University of New York","10030","Other - ATTAIN LAB","40.8208","-73.94113","10","9","232","1,086,084","1,020,280,016","Central Harlem North-Polo Grounds                                          "
"Brooklyn","Haber","3024 West 24th Street","Occupied","Jewish Community Council of Coney Island","11224","Senior Center","40.573171","-73.990645","13","47","352","3,322,050","3,070,700,001","Seagate-Coney Island                                                       "
"Manhattan","Jefferson","2095 Third Avenue ","Occupied","Union Settlement Association","10029","Health Clinic (mental)","40.796967","-73.940721","11","8","180","1,080,705","1,016,620,001","East Harlem North                                                          "
"Manhattan","Wagner","451 East 120th Street","NYCHA HOLD","NYCHA","10035","Vacant","40.797802","-73.931619","11","8","192","1,081,290","1,018,080,001","East Harlem North                                                          "
"Bronx","Butler","1320 Webster Avenue","Occupied","William Hodson Senior Center, Inc.","10456","Senior Center","40.834189","-73.90854","3","16","14,701","2,092,074","2,028,940,001","Claremont-Bathgate                                                         "
"Bronx","Mitchel","200 Alexander Avenue","Occupied","East Side House Settlement","10454","Child Care - Early Learn","40.808753","-73.926081","1","8","23","2,091,097","2,022,980,040","Mott Haven-Port Morris                                                     "
"Brooklyn","Farragut","228 York Street","Occupied","Goodwill Industries of Greater New York","11201","Community Center","40.701304","-73.981762","2","35","23","3,325,909","3,000,710,001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Manhattan","Wagner","435 East 120th Street","Occupied","NYCHA","10035","Senior Center","40.798041","-73.932186","11","8","192","1,081,287","1,018,080,001","East Harlem North                                                          "
"Manhattan","Douglas I","885 Columbus Avenue","Occupied","Children's Aid Society, Inc.","10025","Community Center","40.797762","-73.963944","7","7","189","1,081,301","1,018,360,001","Upper West Side                                                            "
"Manhattan","Carver","1565 Madison Avenue","Occupied","Union Settlement Association","10029","Child Care - Early Learn","40.793315","-73.94971","11","8","168","1,078,840","1,016,100,023","East Harlem South                                                          "
"Queens","Latimer Gardens","34-30 137th Street","Occupied","Child Center of New York","11354","Community Center","40.766044","-73.829935","7","20","88,901","4,443,410","4,049,510,008","Flushing                                                                   "
"Manhattan","Johnson","1833 Lexington Avenue","Occupied","SCAN Supportive Children's Advocacy Network","10029","Community Center","40.796894","-73.942874","11","8","182","1,082,335","1,016,400,021","East Harlem North                                                          "
"Queens","Hammel","82-10 Rockaway Beach Boulevard","Occupied","Atled, Inc.","11693","Child Care ","40.587883","-73.808542","14","31","94,202","4,436,316","4,161,140,002","Hammels-Arverne-Edgemere                                                   "
"Brooklyn","Bushwick II","422 Central Avenue","Occupied","Coalition for Hispanic Family Services","11221","Community Center","40.693173","-73.916541","4","34","417","3,076,595","3,033,500,028","Bushwick South                                                             "
"Brooklyn","Williamsburg","222 Graham Avenue","Occupied","Colony South Brooklyn Houses","11206","Child Care ","40.709622","-73.943569","1","34","493","3,344,971","3,030,260,001","Bushwick South                                                             "
"Queens","Queensbridge North","10-29 41st Avenue","Occupied","Floating Hospital","11101","Health Clinic","40.75545","-73.945248","1","26","25","4,595,582","4,004,700,100","Queensbridge-Ravenswood-Long Island City                                   "
"Bronx","Bryant Ave - East 174th St","1705 Bryant Avenue","Vacant ","NYCHA","10460","Vacant","40.835634","-73.885627","3","17","161","2,092,192","2,029,970,030","Crotona Park East                                                          "
"Manhattan","Wise Towers/WSURA","589 Amsterdam Avenue","Occupied","Goddard Riverside Outreach","10024","Other - Case Management / Homeless Outreach ","40.789261","-73.973851","7","6","173","1,032,284","1,012,190,001","Upper West Side                                                            "
"Bronx","Mott Haven","375 East 143rd Street","Occupied","East Side House Settlement","10454","Child Care - Early Learn","40.812702","-73.921622","1","8","41","2,091,101","2,023,060,009","Mott Haven-Port Morris                                                     "
"Brooklyn","Williamsburg","178 Leonard Street","Occupied","Bushwick United Housing Development Fund","11206","Child Care - Early Learn","40.710036","-73.946992","1","34","505","3,327,883","3,030,240,001","East Williamsburg                                                          "
"Brooklyn","Bayview","5955 Shore Parkway","Occupied","Millennium Development Corp.","11236","Community Center","40.631986","-73.884617","18","46","1,034","3,391,490","3,083,290,225","Canarsie                                                                   "
"Bronx","Patterson","414 Morris Avenue","Occupied","East Side House Settlement","10454","Child Care - Early Learn","40.815528","-73.923923","1","8","51","2,097,853","2,023,240,001","Mott Haven-Port Morris                                                     "
"Manhattan","Smith","50 Madison Street","Occupied","Hamilton-Madison House, Inc.","10038","Community Center","40.711958","-73.997825","3","1","25","1,077,420","1,001,110,100","Chinatown                                                                  "
"Brooklyn","Saratoga Village","940 Hancock Street","Occupied","Coalition for Hispanic Family Services","11233","Community Center","40.686249","-73.917678","16","41","373","3,039,983","3,014,920,001","Ocean Hill                                                                 "
"Brooklyn","Bayview","5985 Shore Parkway","NYCHA HOLD","NYCHA","11236","Vacant","40.632639","-73.883788","18","46","1,034","3,331,443","3,083,290,225","Canarsie                                                                   "
"Manhattan","Lincoln","2110 Madison Avenue","Occupied","Harlem Children's Zone, Inc.","10037","Community Center","40.810563","-73.937136","11","9","210","1,081,115","1,017,570,001","East Harlem North                                                          "
"Brooklyn","Reid Apartments","720 E New York Avenue","Occupied","Fort Greene Senior Citizens Council","11203","Senior Center","40.662289","-73.938916","9","41","87,401","3,106,612","3,047,950,016","Prospect Lefferts Gardens-Wingate                                          "
"Brooklyn","Gowanus","420 Baltic Street","Occupied","Spanish Speaking Elderly Council - RAICES","11217","Senior Center","40.683646","-73.988783","6","33","71","3,336,072","3,004,040,001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Manhattan","Two Bridges","286 South Street","Occupied","YMCA of Greater New York ","10002","Community Center","40.710478","-73.986571","3","1","201","1,003,142","1,002,450,001","Lower East Side                                                            "
"Brooklyn","Roosevelt I","360 Pulaski Street","Occupied","Mary McLeod Bethune Day Care Center","11206","Child Care ","40.693836","-73.936392","3","36","289","3,324,973","3,015,980,001","Stuyvesant Heights                                                         "
"Manhattan","Grant","1301 Amsterdam Avenue","Occupied","Charles A. Walburg Multi-Service, Inc.","10027","Senior Center","40.811994","-73.957264","9","7","20,901","1,084,095","1,019,640,001","Morningside Heights                                                        "
"Staten Island","Stapleton","230 Broad St.","Occupied","Jewish Community Center of Staten Island","10304","Community Center","40.623756","-74.082216","1","49","29","5,154,565","5,005,450,100","Stapleton-Rosebank                                                         "
"Brooklyn","Low Houses","232 Powell Street","Occupied","Brooklyn Kindergarten Society, Inc.","11212","Child Care - Early Learn","40.668946","-73.903789","16","41","908","3,084,013","3,037,450,001","Brownsville                                                                "
"Brooklyn","Stuyvesant Gardens I","214 Stuyvesant Avenue","Occupied","Bedford Stuyvesant Early Childhood Development Ctr., Inc.","11221","Child Care ","40.687985","-73.933065","3","36","293","3,044,631","3,016,350,041","Stuyvesant Heights                                                         "
"Brooklyn","Unity Plaza (sites 4-27)","576 Blake Avenue","Occupied","Research Foundation of CUNY","11207","Community Center","40.66739","-73.897782","5","42","1,134","3,336,125","3,037,850,015","East New York (Pennsylvania Ave)                                           "
"Manhattan","Samuel (City)","669 Lenox Avenue","Occupied","Sheltering Arms Chidren and Family Services, Inc.","10030","Child Care - Early Learn","40.81939","-73.937012","10","9","232","1,085,366","1,020,120,025","Central Harlem North-Polo Grounds                                          "
"Manhattan","King Towers","50 Lenox Avenue","Occupied","Presbyterian Senior Services","10026","Senior Center","40.799593","-73.951421","10","9","186","1,083,312","1,015,960,001","Central Harlem South                                                       "
"Manhattan","White","237 East 104th Street","Occupied","Union Settlement Association","10029","Child Care - Early Learn","40.789687","-73.944267","11","8","170","1,080,671","1,016,540,011","East Harlem South                                                          "
"Queens","Ravenswood","14-01 36 Avenue","Occupied","I Have A Dream Foundation-NY","11106","Other - Education / IHAD Literacy","40.760205","-73.937473","1","26","43","4,430,696","4,003,320,002","Queensbridge-Ravenswood-Long Island City                                   "
"Bronx","Pelham Parkway","2280 Wallace Avenue","Occupied","New York State Association for Retarted Children, Inc.","10469","Child Care ","40.85929","-73.864629","11","13","328","2,093,356","2,043,490,001","Bronxdale                                                                  "
"Manhattan","Elliott","447 West 25th Street","NYCHA HOLD","NYCHA","10001","Vacant","40.748579","-74.002277","4","3","93","1,083,579","1,007,230,001","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Manhattan","White","2029 2nd Avenue","Occupied","Union Settlement Association","10029","Senior Center","40.789473","-73.943288","11","8","170","1,080,669","1,016,540,011","East Harlem South                                                          "
"Bronx","Highbridge Rehab","125 West 166th Street","Reserved - application on file","NYCHA","10452","Religious Services","40.835377","-73.927103","4","16","199","2,003,279","2,025,140,077","Highbridge                                                                 "
"Brooklyn","Bushwick","50 Humboldt Street","Occupied","Grand Street Settlement, Inc.","11206","Community Center","40.703179","-73.940761","1","34","489","3,338,434","3,031,290,001","Bushwick South                                                             "
"Brooklyn","Coney Island I (Sites 4 & 5)","2947 West 28th Street","Vacant ","NYCHA","11224","Vacant","40.574453","-73.994089","13","47","342","3,385,303","3,070,530,014","Seagate-Coney Island                                                       "
"Manhattan","Smith","10 Catherine Slip","Occupied","Hamilton-Madison House, Inc.","10038","Other - Training Center","40.709867","-73.996425","3","1","25","1,077,411","1,001,110,100","Chinatown                                                                  "
"Manhattan","Dyckman","175 Nagle Avenue","Occupied","Renaissance Health Care Network ","10034","Health Clinic","40.86164","-73.92459","12","10","299","1,080,027","1,022,160,001","Marble Hill-Inwood                                                         "
"Brooklyn","Farragut","32 Navy Street","NYCHA HOLD","NYCHA","11201","Vacant","40.699325","-73.980493","2","35","23","3,325,919","3,000,900,001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Manhattan","Rangel","159-44 Harlem River Drive","Occupied","Prince Hall Service Fund, Inc.","10039","Child Care ","40.833741","-73.93547","10","9","24,302","1,084,184","1,021,060,320","Central Harlem North-Polo Grounds                                          "
"Staten Island","New Lane","70 New Lane","Occupied","Community Agency for Senior Citizens, Inc.","10305","Senior Center","40.612811","-74.062256","1","49","6","5,042,254","5,028,320,068","Stapleton-Rosebank                                                         "
"Bronx","Baychester","1220 East 229th Street","Occupied","Baychester Youth Council","10466","Community Center","40.884011","-73.842204","12","12","460","2,093,741","2,049,050,360","Eastchester-Edenwald-Baychester                                            "
"Brooklyn","Brevoort","280 Ralph Avenue","Occupied","CAMBA","11233","Community Center","40.679794","-73.922153","3","41","381","3,325,173","3,016,880,001","Crown Heights North                                                        "
"Manhattan","Riis","464 East 10th Street","Occupied","Sheltering Arms Chidren and Family Services, Inc.","10009","Child Care - Early Learn","40.724601","-73.97454","3","2","24","1,077,538","1,003,620,010","Lower East Side                                                            "
"Bronx","Betances Site IV","490 East 143rd Street","Occupied","South Bronx Head Start Program, Inc.","10454","Child Care - Early Learn","40.811121","-73.917603","1","8","41","2,000,433","2,022,870,135","Mott Haven-Port Morris                                                     "
"Brooklyn","Albany","164 Troy Avenue","Occupied","SCO Family of Services","11213","Community Center","40.673838","-73.936245","8","36","343","3,324,617","3,013,520,080","Crown Heights North                                                        "
"Manhattan","Manhattanville","530 West 133rd Street","Occupied","NYCHA","10027","Senior Center","40.818127","-73.954478","9","7","219","1,084,130","1,019,840,001","Manhattanville                                                             "
"Brooklyn","Armstrong","264 Lexington Avenue","Reserved - application on file","NYCHA","11216","Child Care ","40.687608","-73.951459","3","36","243","3,050,588","3,018,020,051","Bedford                                                                    "
"Manhattan","Wald","34 Avenue D","Occupied","Educational Alliance, Inc.","10009","Child Care - Early Learn","40.721351","-73.977723","3","2","20","1,078,048","1,003,560,001","Lower East Side                                                            "
"Brooklyn","Pink","2702 Linden Boulevard","Occupied","Italian American Civil Rights League","11208","Community Center","40.669208","-73.864514","5","42","1,214","3,326,995","3,044,880,001","East New York                                                              "
"Bronx","Mitchel","210 Alexander Avenue","Occupied","East Side House Settlement","10454","Community Center","40.809172","-73.925777","1","8","23","2,091,097","2,022,980,040","Mott Haven-Port Morris                                                     "
"Bronx","Bronx River","1619 East 174th Street","Occupied","Children's Arts and Science Workshop, Inc.","10472","Community Center","40.83395","-73.876147","9","18","62","2,092,909","2,038,860,002","West Farms-Bronx River                                                     "
"Brooklyn","Brevoort","250 Ralph Avenue","Occupied","Brooklyn Kindergarten Society, Inc.","11233","Child Care - Early Learn","40.68104","-73.9224","3","41","381","3,325,169","3,016,880,001","Crown Heights North                                                        "
"Staten Island","West Brighton","1085 Castleton Avenue","Occupied","NYCHA","10310","Storage","40.634376","-74.119353","1","49","13,301","5,095,825","5,001,960,001","West New Brighton-New Brighton-St. George                                  "
"Brooklyn","Red Hook East","120 West 9th Street","Reserved - temporarily relocated","Spanish Speaking Elderly Council - RAICES","11231","Senior Center","40.675925","-74.001961","6","38","85","3,339,412","3,005,380,001","Carroll Gardens-Columbia Street-Red Hook                                   "
"Brooklyn","Howard Ave /Park Place","1767B Sterling Place","NYCHA HOLD","NYCHA","11233","Vacant","40.670896","-73.920148","16","41","363","3,039,386","3,014,660,047","Ocean Hill                                                                 "
"Brooklyn","Sheepshead Bay","3677 Nostrand Ave","Occupied","Catholic Charities Neighborhood Services, Inc.","11229","NORC","40.594203","-73.940674","15","46","572","3,344,548","3,074,051,001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"Queens","Shelton","89-09 162nd Street","Occupied","Jamaica Service Program for Older Adults (JSPOA)","11432","Senior Center","40.706571","-73.799061","12","24","44,601","4,208,882","4,097,610,036","Jamaica                                                                    "
"Manhattan","Polo Grounds Towers","2965 Eighth Avenue","Occupied","Research Foundation of the State University of New York","10039","Other - ATTAIN LAB","40.830242","-73.9365","10","9","24,302","1,084,520","1,021,060,003","Central Harlem North-Polo Grounds                                          "
"Manhattan","Saint Nicholas","2374 Eighth Avenue","Reserved - temporarily relocated","Harlem Children's Zone, Inc.","10027","Community Center","40.811749","-73.950003","10","9","224","1,081,504","1,019,330,001","Central Harlem North-Polo Grounds                                          "
"Bronx","Bronx River","1555 East 174th Street","Occupied","Tremont Crotona Day Care Ctr., Inc.","10472","Child Care - Early Learn","40.834294","-73.87885","9","18","62","2,092,903","2,038,860,002","West Farms-Bronx River                                                     "
"Bronx","Morissania Air Rights","3071 Park Avenue","Occupied","NYCHA","10451","Storage","40.8227","-73.919417","4","16","173","2,102,829","2,024,209,020","East Concourse-Concourse Village                                           "
"Bronx","Morissania Air Rights","3135 Park Avenue ","Occupied","Presbyterian Senior Services","10451","Senior Center","40.82415","-73.917164","4","16","173","2,100,990","2,024,209,078","East Concourse-Concourse Village                                           "
"Brooklyn","Sheepshead Bay","2953 Avenue X","Occupied","Beachbrook Nursery School","11235","Child Care ","40.593955","-73.939418","15","46","572","3,344,550","3,074,051,001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"Brooklyn","Atlantic Terminal Site 4B","501 Carlton Avenue","Occupied","University Settlement Society of New York, Inc.","11238","Community Center","40.682761","-73.97077","2","35","179","3,057,520","3,020,070,001","Fort Greene                                                                "
"Brooklyn","Vernon Avenue","1060 Myrtle Avenue","Occupied","Research Foundation of the State University of New York","11206","Other - ATTAIN LAB","40.696506","-73.939325","3","36","283","3,042,881","3,015,850,001","Stuyvesant Heights                                                         "
"Manhattan","Baruch Addition","72 Columbia Street","Occupied","Grand Street Settlement, Inc.","10002","NORC","40.717007","-73.980268","3","2","1,002","1,078,043","1,003,230,001","Lower East Side                                                            "
"Queens","South Jamaica","159-07 108th Avenue","Vacant ","NYCHA","11433","Vacant","40.695221","-73.794562","12","28","254","4,440,739","4,101,250,033","South Jamaica                                                              "
"Bronx","Highbridge Gardens","1155 University Avenue","Occupied","Catholic Charities Community Services Archdiocese of NY","10452","Community Center","40.837137","-73.928221","4","16","193","2,095,219","2,025,270,032","Highbridge                                                                 "
"Brooklyn","Borinquen Plaza I","80 Seigel Street","Occupied","Ridgewood-Bushwick Sr Citizens Council, Inc.","11206","Senior Center","40.704366","-73.943775","1","34","491","3,071,447","3,030,960,030","East Williamsburg                                                          "
"Bronx","Butler","1450 Webster Avenue","Occupied","Claremont Neighborhood Center","10456","Child Care ","40.837646","-73.906504","3","16","14,702","2,092,076","2,028,950,001","Claremont-Bathgate                                                         "
"Brooklyn","Williamsburg","195 Graham Avenue","Occupied","St. Nicks Alliance","11206","Community Center","40.708876","-73.943465","1","34","505","3,070,826","3,030,250,070","East Williamsburg                                                          "
"Brooklyn","Farragut","228 York Street","Occupied","Research Foundation of the State University of New York","11201","Other - ATTAIN LAB","40.701304","-73.981762","2","35","23","3,325,909","3,000,710,001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Staten Island","West Brighton","230 Broadway","Occupied","United Activities Unlimited Inc","10310","Community Center","40.636486","-74.117523","1","49","13,301","5,095,818","5,001,960,001","West New Brighton-New Brighton-St. George                                  "
"Bronx","Bronx River","1625 East 174th Street","Occupied","NYCHA","10472","Plasterer's Shop","40.834024","-73.875601","9","18","62","2,092,902","2,038,860,002","West Farms-Bronx River                                                     "
"Manhattan","Wald","18 Avenue D","Occupied","Educational Alliance, Inc.","10009","Child Care ","40.720676","-73.978217","3","2","20","1,078,047","1,003,560,001","Lower East Side                                                            "
"Brooklyn","Williams Plaza","333 Roebling Street","Occupied","Cumberland Hospital","11211","Health Clinic","40.707837","-73.961071","1","33","525","3,341,975","3,021,400,026","North Side-South Side                                                      "
"Bronx","Adams","690 Westchester Avenue","Occupied","Philip Michaels Child Care Center, Inc.","10456","Child Care ","40.816584","-73.907585","1","17","79","2,091,976","2,026,540,002","Melrose South-Mott Haven North                                             "
"Manhattan","Drew Hamilton","2690 8th Avenue","Occupied","Nurse Family Partnership / Harlem Hospital Center","10030","Health Clinic","40.821558","-73.942838","10","9","232","1,060,431","1,020,290,001","Central Harlem North-Polo Grounds                                          "
"Manhattan","Amsterdam Addition","250 West 65th Street","Occupied","Lincoln Square Neighborhood Center, Inc.","10023","NORC","40.77501","-73.98689","7","6","151","1,030,340","1,011,560,020","Lincoln Square                                                             "
"Bronx","Soundview","1680 Seward Avenue","Occupied","Phipps Community Development","10473","Community Center","40.818369","-73.86895","9","18","20","2,092,647","2,035,510,001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Bronx","Middletown Plaza","3035 Middletown Road","Occupied","Regional Aid For Interim Needs, Inc.","10461","Senior Center","40.844355","-73.828806","10","13","26,602","2,046,141","2,041,710,024","Pelham Bay-Country Club-City Island                                        "
"Manhattan","Metro North Plaza","345 East 101st Street","Occupied","Addie Mae Collins Comm. Serv.","10029","Child Care - Early Learn","40.787019","-73.943742","11","8","164","1,079,340","1,016,730,006","East Harlem South                                                          "
"Manhattan","Audobon","1909 Amsterdam Avenue","Reserved - application on file","NYCHA","10032","Community/Senior","40.831308","-73.943159","9","7","23,501","1,061,681","1,020,680,046","Hamilton Heights                                                           "
"Bronx","Millbrook","201 St. Anns Avenue","Occupied","East Side House Settlement","10454","Community Center","40.805742","-73.918238","1","8","25","2,090,986","2,022,630,019","Mott Haven-Port Morris                                                     "
"Manhattan","Saint Nicholas","210 West 131st Street","Occupied","Central Harlem Senior Center","10027","Senior Center","40.812977","-73.94614","10","9","224","1,081,515","1,019,330,050","Central Harlem North-Polo Grounds                                          "
"Manhattan","Jefferson","2205 First Avenue","Occupied","Union Settlement Association","10029","Senior Center","40.794319","-73.93665","11","8","180","1,081,091","1,016,840,001","East Harlem North                                                          "
"Bronx","Twin Parks East","2070 Clinton Avenue","Occupied","Neighborhood SHOPP","10457","Senior Center","40.847236","-73.888101","6","15","371","2,012,652","2,030,940,014","East Tremont                                                               "
"Manhattan","Fulton","418 West 17th Street","Occupied","Hudson Guild","10011","Other - Computer Lab","40.743185","-74.004756","4","3","83","1,078,411","1,007,140,031","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Bronx","Gun Hill","3450 White Plains Road","Vacant ","NYCHA","10467","Vacant- health clinic","40.876214","-73.866978","12","12","374","2,093,518","2,046,290,050","Williamsbridge-Olinville                                                   "
"Manhattan","335 East 111th St (managed by Jefferson)","335 East 111th Street","Occupied","Research Foundation of CUNY (Hostos Community College)","10029","Other - Jobs Plus","40.793173","-73.938558","11","8","180","1,052,877","1,016,830,018","East Harlem North                                                          "
"Brooklyn","Borinquen Plaza I","125 Humboldt Street","Occupied","YMCA of Greater New York ","11206","Community Center","40.705694","-73.941231","1","34","493","3,071,353","3,030,800,020","Bushwick South                                                             "
"Queens","Bland","133-36 Roosevelt Avenue","Reserved UPK 2015","School Construction Authority","11354","Occupied","40.758531","-73.833124","7","20","871","4,443,447","4,050,370,008","Flushing                                                                   "
"Manhattan","Chelsea Addition","441 West 26th Street","Occupied","Hudson Guild","10001","NORC","40.749196","-74.001815","4","3","97","1,012,827","1,007,240,010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Manhattan","Saint Nicholas","220 West 131st Street","NYCHA HOLD","NYCHA","10027","Vacant","40.813142","-73.946537","10","9","224","1,081,514","1,019,330,050","Central Harlem North-Polo Grounds                                          "
"Manhattan","Johnson","1820 Lexington Avenue","Occupied","El Barrio Boxing","10029","Other - Sports - Boxing Program","40.796524","-73.943167","11","8","182","1,079,195","1,016,400,001","East Harlem North                                                          "
"Manhattan","Corsi","307 East 116th Street","Occupied","Union Settlement Association","10029","Senior Center","40.796935","-73.93759","11","8","188","1,079,357","1,016,880,045","East Harlem North                                                          "
"Queens","Woodside","49-11 Broadway","NYCHA HOLD","NYCHA","11377","Vacant","40.755464","-73.911514","1","26","163","4,431,000","4,007,380,050","Astoria                                                                    "
"Manhattan","Grant","1301 Amsterdam Avenue","Occupied","New York City Mission Society","10027","Community Center","40.811994","-73.957264","9","7","20,901","1,084,095","1,019,640,001","Morningside Heights                                                        "
"Bronx","Melrose","731 Courtlandt Avenue","Vacant ","NYCHA","10451","Vacant","40.820832","-73.917638","1","17","67","2,093,919","2,024,130,001","Melrose South-Mott Haven North                                             "
"Brooklyn","Vandalia","47 Vandalia Avenue","Occupied","Millennium Development Corp.","11239","Senior Center","40.649799","-73.88676","5","42","105,804","3,348,859","3,044,310,100","Starrett City                                                              "
"Manhattan","Amsterdam Addition","250 West 65th Street","Occupied","Lincoln Square Neighborhood Center, Inc.","10023","Senior Center","40.77501","-73.98689","7","6","151","1,030,340","1,011,560,020","Lincoln Square                                                             "
"Brooklyn","Independence Towers","114 Taylor Street","Occupied","Millennium Development Corp.","11211","Senior Center","40.705508","-73.963702","1","33","545","3,059,905","3,021,760,001","Williamsburg                                                               "
"Brooklyn","Marlboro","2298 West 8th Street","Occupied","Federation of Italian American Organizations of Brooklyn","11223","Community Center","40.592081","-73.978468","13","47","382","3,322,179","3,071,400,016","Gravesend                                                                  "
"Brooklyn","Pennsylvania Avenue-Wortman Avenue","895 Pennsylvania Avenue","Occupied","Millennium Development Corp.","11207","Senior Center","40.655966","-73.888652","5","42","1,104","3,324,011","3,043,690,001","East New York                                                              "
"Bronx","Marble Hill","5365 Broadway","Occupied","Mosholu Montefiore Community Center Inc.","10463","Community Center","40.876062","-73.907886","8","10","309","1,082,782","1,022,150,623","Marble Hill-Inwood                                                         "
"Manhattan","Grant","3170 Broadway","Occupied","Renaissance Health Care Network ","10027","Health Clinic","40.814794","-73.958928","9","7","211","1,084,118","1,019,800,001","Morningside Heights                                                        "
"Bronx","Boston Road Plaza","2424 Boston Road","Occupied","Regional Aid For Interim Needs, Inc.","10467","Senior Center","40.861733","-73.866616","11","13","330","2,093,401","2,044,310,001","Bronxdale                                                                  "
"Queens","Woodside","50-53 Newtown Road","Occupied","Elmhurst Hospital ","11377","Health Clinic","40.753164","-73.910752","1","26","163","4,430,994","4,007,360,002","Astoria                                                                    "
"Brooklyn","Sumner","860 Park Avenue","Occupied","Brooklyn Kindergarten Society, Inc.","11206","Child Care - Early Learn","40.698576","-73.940801","3","36","28,502","3,324,728","3,015,800,001","Stuyvesant Heights                                                         "
"Brooklyn","Kingsborough","129 Kingsborough 1st Walk","Occupied","Coalition for Hispanic Family Services","11233","Community Center","40.67591","-73.927147","8","41","307","3,324,601","3,013,440,001","Crown Heights North                                                        "
"Brooklyn","Cooper Park","288 Frost Street","Occupied","Jewish Association Services For the Aged","11222","Senior Center","40.718837","-73.939856","1","34","449","3,327,829","3,028,670,001","East Williamsburg                                                          "
"Brooklyn","Palmetto Gardens","85 Palmetto Street","Occupied","Ridgewood-Bushwick Sr Citizens Council, Inc.","11221","Senior Center","40.691599","-73.91884","4","34","399","3,076,429","3,033,400,020","Bushwick South                                                             "
"Queens","Queensbridge North","10-25 41st Avenue","Occupied","Jacob A. Riis Neighborhood Settlement, Inc.","11101","Other - Computer Room","40.755488","-73.945328","1","26","25","4,433,386","4,004,700,100","Queensbridge-Ravenswood-Long Island City                                   "
"Brooklyn","Pink","2700 Linden Boulevard","Occupied","Colony South Brooklyn Houses","11208","Child Care ","40.669187","-73.864673","5","42","1,214","3,326,995","3,044,880,001","East New York                                                              "
"Bronx","Bronx River Add","1350 Manor Avenue","Vacant ","NYCHA","10472","Vacant","40.833016","-73.877331","9","18","56","2,027,475","2,038,660,031","West Farms-Bronx River                                                     "
"Brooklyn","Wyckoff Gardens","280 Wyckoff Street","Occupied","Goodwill Industries of Greater New York","11217","Community Center","40.683365","-73.983941","6","33","127","3,336,056","3,003,940,001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Manhattan","Taft","1732 Madison Avenue","Occupied","Children's Aid Society, Inc.","10029","Community Center","40.798844","-73.945696","11","9","184","1,080,505","1,016,180,001","East Harlem North                                                          "
"Bronx","Millbrook","161 Saint Anns Avenue","Occupied","Pamela C. Torres Day Care Center, Inc.","10454","Child Care ","40.805284","-73.918564","1","8","25","2,090,985","2,022,630,019","Mott Haven-Port Morris                                                     "
"Manhattan","Taft","1365  5th Avenue","Occupied","NYCHA","10029","Senior Center","40.798815","-73.947799","11","9","184","1,080,501","1,016,180,001","East Harlem North                                                          "
"Bronx","Boynton Avenue Rehab","1057 Boynton Avenue","Vacant + being looked at","NYCHA","10472","Vacant","40.825364","-73.877478","9","18","5,001","2,023,475","2,037,140,036","Soundview-Bruckner                                                         "
"Queens","Pomonok","67-09 Kissena Blvd","Occupied","Queens Community House, Inc.","11367","Community Center","40.735033","-73.814726","8","24","122,702","4,455,430","4,067,920,030","Pomonok-Flushing Heights-Hillcrest                                         "
"Bronx","Morissania Air Rights","3204 Park Avenue ","NYCHA HOLD","NYCHA","10451","Vacant","40.825206","-73.916267","3","17","141","2,098,307","2,024,099,059","Morrisania-Melrose                                                         "
"Bronx","Highbridge Gardens","1145 University Avenue","Occupied","NYCHA","10452","Senior Center","40.837077","-73.928282","4","16","193","2,095,219","2,025,270,032","Highbridge                                                                 "
