"BOROUGH","DEVELOPMENT NAME","ADDRESS","STATUS","SPONSOR","POSTCODE","TYPE","Latitude","Longitude","Community Board","Community Council ","Census Tract","BIN","BBL","NTA"
"Brooklyn","Nostrand","3043 Avenue W","Occupied","Kings Bay YM-YWHA","11229","Community Center","40.596429","-73.936452","15","46","572","3,320,779","3,073,890,001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"Manhattan","Amsterdam","243 West 64th Street","Occupied","Lincoln Square Neighborhood Center, Inc.","10023","Child Care - Early Learn","40.774214","-73.986937","7","6","151","1,030,340","1,011,560,020","Lincoln Square                                                             "
"Brooklyn","Kingsborough","342 Kingsborough 3rd Walk","NYCHA HOLD","NYCHA","11233","Vacant- health clinic","40.675303","-73.925818","8","41","307","3,331,198","3,013,440,001","Crown Heights North                                                        "
"Manhattan","Harborview Terrace","530 West 55th Street","Occupied","Find Aid for The Aged, Inc.","10019","Senior Center","40.768258","-73.990588","4","6","135","1,027,059","1,010,830,015","Clinton                                                                    "
"Bronx","Boston Secor","3540 Bivona Street","Occupied","Mosholu Montefiore Community Center Inc.","10475","Community Center","40.883026","-73.833227","12","12","46,202","2,093,879","2,052,630,070","Co-op City                                                                 "
"Bronx","Butler","1458 Webster Avenue","Occupied","South Bronx Head Start Program, Inc.","10456","Child Care ","40.837926","-73.906331","3","16","14,702","2,092,076","2,028,950,001","Claremont-Bathgate                                                         "
"Brooklyn","Gravesend","2757 W 33rd Street","Occupied","Labor Industry for Education, Inc","11224","Child Care - Early Learn","40.578145","-74.00018","13","47","330","3,331,093","3,069,640,002","Seagate-Coney Island                                                       "
"Brooklyn","Marlboro","2298 West 8th Street","Occupied","Jewish Community Council of Coney Island","11223","Senior Center","40.592081","-73.978468","13","47","382","3,322,179","3,071,400,016","Gravesend                                                                  "
"Bronx","Castle Hill","625 Castle Hill Avenue","Occupied","Kips Bay Boys & Girls Club/Dept for the Aging","10473","Senior Center","40.819754","-73.848209","9","18","86","2,092,673","2,035,700,001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Brooklyn","Cypress Hills","720 Euclid Avenue","Occupied","Colony South Brooklyn Houses","11208","Child Care ","40.669298","-73.870437","5","42","1,210","3,337,053","3,042,920,061","East New York                                                              "
"Manhattan","Wagner","435 East 120th Street","Occupied","SCAN Supportive Children's Advocacy Network","10035","Community Center","40.798041","-73.932186","11","8","192","1,081,287","1,018,080,001","East Harlem North                                                          "
"Brooklyn","Cooper Park","76 Kingsland Avenue","Occupied","St. Nicks Alliance","11211","Community Center","40.718374","-73.940419","1","34","449","3,332,781","3,028,670,001","East Williamsburg                                                          "
"Bronx","Adams","755 East 152nd Street","Vacant ","NYCHA","10455","Vacant","40.815818","-73.90699","1","17","79","2,091,979","2,026,540,002","Melrose South-Mott Haven North                                             "
"Queens","Queensbridge North","10-25 41st Avenue","Occupied","Jacob A. Riis Neighborhood Settlement, Inc.","11101","Senior Center","40.755488","-73.945328","1","26","25","4,433,386","4,004,700,100","Queensbridge-Ravenswood-Long Island City                                   "
"Manhattan","Douglas I","865 Columbus Avenue ","Occupied","Children's Aid Society, Inc.","10025","Other - Office Space","40.79693","-73.964551","7","7","189","1,081,300","1,018,360,001","Upper West Side                                                            "
"Queens","Woodside","50-19 Broadway","Occupied","Goodwill Industries of Greater New York","11377","Community Center","40.754972","-73.910468","1","26","163","4,431,001","4,007,380,050","Astoria                                                                    "
"Manhattan","Lehman Village","1589 Madison Avenue","Occupied","SCAN Supportive Children's Advocacy Network","10029","Community Center","40.794311","-73.948979","11","8","17,401","1,078,857","1,016,130,023","East Harlem South                                                          "
"Bronx","Sedgwick","1553 University Avenue","Occupied","Catholic Charities Community Services Archdiocese of NY","10453","Community Center","40.846111","-73.921662","5","16","20,501","2,092,105","2,028,770,001","University Heights-Morris Heights                                          "
"Manhattan","UPACA 6 (Site 6)","1940 Lexington Avenue","Vacant ","NYCHA","10035","Vacant","40.80073","-73.940093","11","9","196","1,054,368","1,017,680,012","East Harlem North                                                          "
"Bronx","Murphy","1811 Crotona Avenue","Occupied","East Tremont Child Care & Development Center","10457","Child Care - Early Learn","40.842893","-73.893457","6","15","36,902","2,092,141","2,029,440,001","East Tremont                                                               "
"Brooklyn","Roosevelt II","400 Hart Street","Occupied","Fort Greene Senior Citizens Council","11206","Senior Center","40.694725","-73.93519","3","36","287","3,341,752","3,015,950,024","Stuyvesant Heights                                                         "
"Brooklyn","Roosevelt","388 Pulaski Street","Occupied","Cumberland Hospital ","11206","Health Clinic","40.694049","-73.934552","3","36","289","3,324,972","3,015,980,001","Stuyvesant Heights                                                         "
"Manhattan","Johnson","173 East 112th Street","Vacant ","NYCHA","10029","Vacant","40.795653","-73.942449","11","8","182","1,089,897","1,016,400,021","East Harlem North                                                          "
"Brooklyn","Van Dyke I","330 Powell Street","Occupied","DB Grant Associates, Inc.","11212","Other - Jobs Plus","40.666184","-73.903097","16","41","910","3,000,000","3,037,770,001","Brownsville                                                                "
"Bronx","Bailey Avenue-West 193rd Street","2660 Bailey Avenue","Occupied","Regional Aid For Interim Needs, Inc.","10463","Senior Center","40.870747","-73.906859","7","14","269","2,000,000","2,032,390,025","Kingsbridge Heights                                                        "
"Manhattan","Carver","55 East 102nd Street","Occupied","Institute for the Puerto Rican/Hispanic Elderly","10029","Senior Center","40.79084","-73.950853","11","8","168","1,082,659","1,016,080,023","East Harlem South                                                          "
"Manhattan","Riis","80 Avenue D","Occupied","Grand Street Settlement, Inc.","10009","Community Center","40.722565","-73.976832","3","2","24","1,077,552","1,003,620,001","Lower East Side                                                            "
